OP,Sim,Value
5,17,0.200376845
6,17,0.613910803
7,17,0.43898798
8,17,0.418690793
9,17,0.813935336
10,17,0.37458138
1,18,0.856552525
2,18,0.816725756
3,18,0.461291459
4,18,0.348556912
5,18,0.852359497
6,18,0.710177088
7,18,0.282118267
8,18,0.642783103
9,18,0.298247996
10,18,0.645026455
1,19,0.136549644
2,19,0.307808315
3,19,0.854475148
4,19,0.606038989
5,19,0.172222074
6,19,0.24092192
7,19,0.184696654
8,19,0.301173199
9,19,0.213786202
10,19,0.737807716
1,20,0.14903883
2,20,0.137660479
3,20,0.967866727
4,20,0.013107041
5,20,0.808002219
6,20,0.812544703
7,20,0.935817279
8,20,0.665430008
9,20,0.373299996
10,20,0.691037725
1,21,0.483112756
2,21,0.711864168
3,21,0.460958927
4,21,0.818668447
5,21,0.064210501
6,21,0.109366897
7,21,0.558149318
8,21,0.5917238
9,21,0.306217605
10,21,0.547672897
1,22,0.77433732
2,22,0.805245774
3,22,0.227334408
4,22,0.916954792
5,22,0.35612985
6,22,0.81760724
7,22,0.89269
8,22,0.181906355
9,22,0.829721975
10,22,0.394566916
1,23,0.347868449
2,23,0.850037081
3,23,0.592111919
4,23,0.539871884
5,23,0.48806375
6,23,0.30549394
7,23,0.357818315
8,23,0.145125641
9,23,0.149201019
10,23,0.875416831
1,24,0.009119596
2,24,0.571829774
3,24,0.352318797
4,24,0.851347572
5,24,0.0130891
6,24,0.430399734
7,24,0.136697742
8,24,0.383959131
9,24,0.814720616
10,24,0.220828013
1,25,0.402621021
2,25,0.511748501
3,25,0.114529425
4,25,0.155277209
5,25,0.798099613
6,25,0.348437555
7,25,0.613861591
8,25,0.660118161
9,25,0.574677835
10,25,0.657238849
1,26,0.4093049
2,26,0.307090336
3,26,0.565361251
4,26,0.342100853
5,26,0.495936493
6,26,0.529091875
7,26,0.712721028
8,26,0.513073196
9,26,0.970829334
10,26,0.739169329
1,27,0.590539857
2,27,0.254768619
3,27,0.311557779
4,27,0.516490344
5,27,0.25223853
6,27,0.313945961
7,27,0.384982823
8,27,0.060763789
9,27,0.511340492
10,27,0.06314899
1,28,0.54734328
2,28,0.761727637
3,28,0.834674216
4,28,0.914420551
5,28,0.463708164
6,28,0.87609622
7,28,0.639835583
8,28,0.008981104
9,28,0.9622373
10,28,0.732847404
1,29,0.646839421
2,29,0.841032902
3,29,0.277447443
4,29,0.53660231
5,29,0.241775752
6,29,0.472254264
7,29,0.408039732
8,29,0.846623434
9,29,0.106793105
10,29,0.542913384
1,30,0.768299439
2,30,0.437316658
3,30,0.421188038
4,30,0.709272827
5,30,0.327049716
6,30,0.431534226
7,30,0.789385448
8,30,0.329179073
9,30,0.224919642
10,30,0.490207546
1,31,0.563043982
2,31,0.761297065
3,31,0.175752588
4,31,0.48966257
5,31,0.786155599
6,31,0.639424355
7,31,0.377731488
8,31,0.162315399
9,31,0.28020305
10,31,0.85338415
1,32,0.753001148
2,32,0.282698779
3,32,0.62689326
4,32,0.319865779
5,32,0.831512448
6,32,0.230110458
7,32,0.715128799
8,32,0.769960529
9,32,0.367552451
10,32,0.740309942
1,33,0.45550862
2,33,0.039024331
3,33,0.838947768
4,33,0.783635337
5,33,0.2690687
6,33,0.69166705
7,33,0.243227424
8,33,0.198161991
9,33,0.26880952
10,33,0.042865531
1,34,0.062550804
2,34,0.293595582
3,34,0.689240378
4,34,0.225373112
5,34,0.473269596
6,34,0.240643904
7,34,0.155412879
8,34,0.631785511
9,34,0.080986251
10,34,0.208424804
1,35,0.036226868
2,35,0.943725529
3,35,0.679209354
4,35,0.833842411
5,35,0.411058514
6,35,0.654695846
7,35,0.733764817
8,35,0.446407319
9,35,0.764465325
10,35,0.674018165
1,36,0.993471736
2,36,0.296501547
3,36,0.830703736
4,36,0.468888854
5,36,0.453632568
6,36,0.1667625
7,36,0.547020498
8,36,0.590593917
9,36,0.538654003
10,36,0.613413184
1,37,0.332465072
2,37,0.08680525
3,37,0.64276437
4,37,0.736648737
5,37,0.427586202
6,37,0.901346593
7,37,0.514429188
8,37,0.436856914
9,37,0.452567579
10,37,0.44340256
1,38,0.120622974
2,38,0.728205331
3,38,0.496399591
4,38,0.040994833
5,38,0.674234992
6,38,0.288085155
7,38,0.077109099
8,38,0.595141678
9,38,0.970878864
10,38,0.499086379
1,39,0.684517058
2,39,0.95125334
3,39,0.796782886
4,39,0.587951355
5,39,0.287817204
6,39,0.989511433
7,39,0.281481591
8,39,0.968493802
9,39,0.015863578
10,39,0.037762342
1,40,0.894213193
2,40,0.622683787
3,40,0.972357127
4,40,0.613897164
5,40,0.760619882
6,40,0.035523768
7,40,0.327470595
8,40,0.310755593
9,40,0.799679386
10,40,0.462426435
1,41,0.814371247
2,41,0.503792216
3,41,0.021193921
4,41,0.18873262
5,41,0.512439529
6,41,0.336409748
7,41,0.783201621
8,41,0.843944012
9,41,0.827619184
10,41,0.159779773
1,42,0.618944918
2,42,0.132923625
3,42,0.86164676
4,42,0.275758441
5,42,0.637308116
6,42,0.990989299
7,42,0.546288892
8,42,0.372936163
9,42,0.19866375
10,42,0.913270484
1,43,0.140029037
2,43,0.352761867
3,43,0.44226246
4,43,0.53037618
5,43,0.755289319
6,43,0.517896528
7,43,0.558489161
8,43,0.486434341
9,43,0.966101138
10,43,0.939454037
1,44,0.270789143
2,44,0.921059469
3,44,0.782732872
4,44,0.444274104
5,44,0.286095028
6,44,0.733875755
7,44,0.709508652
8,44,0.594585777
9,44,0.200101276
10,44,0.166846694
1,45,0.223825402
2,45,0.074223236
3,45,0.743802492
4,45,0.008310688
5,45,0.560859635
6,45,0.337168963
7,45,0.408775876
8,45,0.403282841
9,45,0.995168144
10,45,0.080937196
1,46,0.467473947
2,46,0.955565005
3,46,0.016526717
4,46,0.345642835
5,46,0.15637753
6,46,0.740320936
7,46,0.934833857
8,46,0.220701046
9,46,0.92926469
10,46,0.138717986
1,47,0.043230996
2,47,0.186758005
3,47,0.141159255
4,47,0.922271977
5,47,0.367816087
6,47,0.951813689
7,47,0.188565255
8,47,0.32414255
9,47,0.079256509
10,47,0.281001333
1,48,0.297155094
2,48,0.402301332
3,48,0.951373284
4,48,0.549171119
5,48,0.159002957
6,48,0.613867148
7,48,0.490034645
8,48,0.766238889
9,48,0.872573525
10,48,0.118761738
1,49,0.680005572
2,49,0.067613243
3,49,0.101890784
4,49,0.242345387
5,49,0.466228317
6,49,0.835435013
7,49,0.014313427
8,49,0.916808757
9,49,0.988753482
10,49,0.843831089
1,50,0.06488791
2,50,0.044034811
3,50,0.499384963
4,50,0.256163842
5,50,0.642910381
6,50,0.976217293
7,50,0.594323747
8,50,0.647026368
9,50,0.31287699
10,50,0.127660252
1,51,0.718763104
2,51,0.251487541
3,51,0.404134892
4,51,0.400881422
5,51,0.564608427
6,51,0.531254728
7,51,0.480495757
8,51,0.710942145
9,51,0.254262213
10,51,0.651324146
1,52,0.614930693
2,52,0.396020511
3,52,0.103736132
4,52,0.382111736
5,52,0.59846658
6,52,0.83526134
7,52,0.791546877
8,52,0.486854252
9,52,0.716689804
10,52,0.450942178
1,53,0.868409278
2,53,0.950159047
3,53,0.477815175
4,53,0.884956897
5,53,0.498522661
6,53,0.499196765
7,53,0.160729831
8,53,0.950537981
9,53,0.017416436
10,53,0.134842288
1,54,0.950666587
2,54,0.017266697
3,54,0.187976492
4,54,0.619652083
5,54,0.853737624
6,54,0.241013723
7,54,0.054741619
8,54,0.035896602
9,54,0.473264617
10,54,0.737603474
1,55,0.498823555
2,55,0.712439179
3,55,0.086732953
4,55,0.478467766
5,55,0.495534654
6,55,0.870980632
7,55,0.100194531
8,55,0.699433055
9,55,0.933390863
10,55,0.173683568
1,56,0.162001379
2,56,0.67794028
3,56,0.425013728
4,56,0.560590439
5,56,0.156540705
6,56,0.350933274
7,56,0.409094145
8,56,0.313552564
9,56,0.11265308
10,56,0.299304835
1,57,0.258908279
2,57,0.669264116
3,57,0.03326725
4,57,0.427547902
5,57,0.749526658
6,57,0.929319303
7,57,0.557902157
8,57,0.484305948
9,57,0.151277622
10,57,0.11952765
1,58,0.318504654
2,58,0.404207688
3,58,0.062281952
4,58,0.215175796
5,58,0.776187422
6,58,0.481768058
7,58,0.868250461
8,58,0.264152975
9,58,0.687854127
10,58,0.731126718
1,59,0.586366014
2,59,0.015495472
3,59,0.10013437
4,59,0.214765694
5,59,0.478206197
6,59,0.339321896
7,59,0.302882521
8,59,0.419963209
9,59,0.197976225
10,59,0.57227741
1,60,0.319318102
2,60,0.902991381
3,60,0.352190759
4,60,0.693436316
5,60,0.615249819
6,60,0.350857645
7,60,0.934791971
8,60,0.155454182
9,60,0.997155323
10,60,0.266597028
1,61,0.644652447
2,61,0.782541547
3,61,0.315020713
4,61,0.913562004
5,61,0.454588663
6,61,0.921607066
7,61,0.956030234
8,61,0.475695115
9,61,0.167325061
10,61,0.17390811
1,62,0.597001379
2,62,0.368043259
3,62,0.033985705
4,62,0.540637783
5,62,0.945378036
6,62,0.135755581
7,62,0.957859076
8,62,0.394824018
9,62,0.408885293
10,62,0.18035838
1,63,0.733810658
2,63,0.407528352
3,63,0.827607378
4,63,0.221268135
5,63,0.642306566
6,63,0.657509906
7,63,0.337060236
8,63,0.740714767
9,63,0.445463727
10,63,0.626850341
1,64,0.3779646
2,64,0.512317104
3,64,0.448779676
4,64,0.699026743
5,64,0.767835185
6,64,0.53676363
7,64,0.098221692
8,64,0.734574594
9,64,0.507508226
10,64,0.037661536
1,65,0.792281491
2,65,0.751499531
3,65,0.767286783
4,65,0.63004745
5,65,0.221685441
6,65,0.507488309
7,65,0.258171691
8,65,0.364265777
9,65,0.334448806
10,65,0.762825184
1,66,0.667251112
2,66,0.351370805
3,66,0.532224315
4,66,0.119705387
5,66,0.28373199
6,66,0.14003276
7,66,0.541793668
8,66,0.284309525
9,66,0.719244552
10,66,0.460815254
1,67,0.284321001
2,67,0.0805984
3,67,0.306692046
4,67,0.342962043
5,67,0.024135938
6,67,0.17642773
7,67,0.510148786
8,67,0.97312339
9,67,0.181226378
10,67,0.369331845
1,68,0.13992696
2,68,0.946763
3,68,0.196816949
4,68,0.667002737
5,68,0.388333235
6,68,0.564568466
7,68,0.562048694
8,68,0.378665639
9,68,0.216319686
10,68,0.291839094
1,69,0.549648386
2,69,0.710343506
3,69,0.705047178
4,69,0.905404909
5,69,0.687957115
6,69,0.654825499
7,69,0.523985801
8,69,0.182721041
9,69,0.774523003
10,69,0.487214941
1,70,0.151691046
2,70,0.735567888
3,70,0.990969713
4,70,0.798587052
5,70,0.431780972
6,70,0.078900812
7,70,0.146690063
8,70,0.055344858
9,70,0.69231706
10,70,0.776719949
1,71,0.929214292
2,71,0.129768447
3,71,0.66082042
4,71,0.897174988
5,71,0.715732085
6,71,0.240126182
7,71,0.48346608
8,71,0.492663496
9,71,0.048417777
10,71,0.227311913
1,72,0.240351756
2,72,0.539162047
3,72,0.518989128
4,72,0.01587311
5,72,0.245762772
6,72,0.27572116
7,72,0.359398022
8,72,0.281629054
9,72,0.501871542
10,72,0.468512047
1,73,0.432788591
2,73,0.744454515
3,73,0.236515107
4,73,0.888358583
5,73,0.188048129
6,73,0.103919698
7,73,0.925782262
8,73,0.488330093
9,73,0.915240374
10,73,0.295538948
1,74,0.561373084
2,74,0.759382503
3,74,0.933969722
4,74,0.009169808
5,74,0.982033239
6,74,0.044904429
7,74,0.695306439
8,74,0.534008879
9,74,0.519311493
10,74,0.036472074
1,75,0.021484737
2,75,0.028324141
3,75,0.636088731
4,75,0.835923558
5,75,0.571970244
6,75,0.164334109
7,75,0.366463206
8,75,0.656276765
9,75,0.626627495
10,75,0.411025233
1,76,0.631058639
2,76,0.225457276
3,76,0.704212584
4,76,0.600975765
5,76,0.091182016
6,76,0.56294058
7,76,0.342625596
8,76,0.63034451
9,76,0.543605942
10,76,0.742102584
1,77,0.589910595
2,77,0.82134515
3,77,0.157308973
4,77,0.424743976
5,77,0.394863389
6,77,0.227315389
7,77,0.377447488
8,77,0.511198612
9,77,0.571458969
10,77,0.349519901
1,78,0.123238523
2,78,0.384232923
3,78,0.668858729
4,78,0.452914645
5,78,0.600298525
6,78,0.226733765
7,78,0.925699944
8,78,0.830584644
9,78,0.604407433
10,78,0.735482617
1,79,0.613368526
2,79,0.9257385
3,79,0.213833781
4,79,0.226630105
5,79,0.356610423
6,79,0.631756707
7,79,0.24059528
8,79,0.091770639
9,79,0.79199353
10,79,0.093524468
1,80,0.560696501
2,80,0.237720958
3,80,0.703869544
4,80,0.86511536
5,80,0.641614738
6,80,0.232524561
7,80,0.235215757
8,80,0.327148288
9,80,0.349291005
10,80,0.902064488
1,81,0.332935387
2,81,0.842945168
3,81,0.20092083
4,81,0.709557713
5,81,0.681212419
6,81,0.670182957
7,81,0.379091281
8,81,0.076948689
9,81,0.082857412
10,81,0.547311844
1,82,0.728504932
2,82,0.011496001
3,82,0.0494617
4,82,0.763841766
5,82,0.521243866
6,82,0.32563089
7,82,0.496484579
8,82,0.652596168
9,82,0.783902469
10,82,0.947746684
1,83,0.817992414
2,83,0.866506277
3,83,0.867037298
4,83,0.585077062
5,83,0.365502197
6,83,0.854023634
7,83,0.822632063
8,83,0.951692343
9,83,0.743302652
10,83,0.17902814
1,84,0.13091144
2,84,0.844480679
3,84,0.176515111
4,84,0.058212913
5,84,0.253507814
6,84,0.602302668
7,84,0.966023126
8,84,0.972808771
9,84,0.183771201
10,84,0.12409783
1,85,0.258528383
2,85,0.96347532
3,85,0.434020256
4,85,0.767411726
5,85,0.712765693
6,85,0.953343003
7,85,0.597741377
8,85,0.713984834
9,85,0.626856108
10,85,0.47006922
1,86,0.21142987
2,86,0.986511017
3,86,0.415908146
4,86,0.594954419
5,86,0.316396807
6,86,0.763768462
7,86,0.562995068
8,86,0.767404226
9,86,0.846645722
10,86,0.44710183
1,87,0.16838403
2,87,0.256240547
3,87,0.239724128
4,87,0.874778235
5,87,0.082576079
6,87,0.952051677
7,87,0.611874284
8,87,0.726675054
9,87,0.745438641
10,87,0.430687797
1,88,0.854747278
2,88,0.693858196
3,88,0.62227857
4,88,0.22347105
5,88,0.608650121
6,88,0.183683913
7,88,0.091259708
8,88,0.511497478
9,88,0.702642748
10,88,0.305057296
1,89,0.37830963
2,89,0.457253162
3,89,0.433279659
4,89,0.334635123
5,89,0.401067285
6,89,0.948050401
7,89,0.586266113
8,89,0.392375896
9,89,0.530487263
10,89,0.202946852
1,90,0.678647892
2,90,0.547489215
3,90,0.903141601
4,90,0.123822374
5,90,0.076100702
6,90,0.661934165
7,90,0.046241383
8,90,0.431927378
9,90,0.908758176
10,90,0.119756254
1,91,0.163482725
2,91,0.731802585
3,91,0.496338326
4,91,0.609208949
5,91,0.966188064
6,91,0.705472804
7,91,0.538111542
8,91,0.131448708
9,91,0.349518981
10,91,0.391731836
1,92,0.148763718
2,92,0.832795332
3,92,0.954704897
4,92,0.511665413
5,92,0.498635318
6,92,0.948235424
7,92,0.204472703
8,92,0.684868718
9,92,0.125921657
10,92,0.837779389
1,93,0.380008846
2,93,0.367270493
3,93,0.141731395
4,93,0.680101866
5,93,0.231708815
6,93,0.664027449
7,93,0.429712957
8,93,0.793396999
9,93,0.920611487
10,93,0.101986444
1,94,0.402429608
2,94,0.885810303
3,94,0.038821283
4,94,0.711736954
5,94,0.818042027
6,94,0.83131118
7,94,0.386957551
8,94,0.879417375
9,94,0.664489335
10,94,0.690535193
1,95,0.478875986
2,95,0.520877782
3,95,0.380587535
4,95,0.652164638
5,95,0.524033283
6,95,0.793392549
7,95,0.788485621
8,95,0.936869576
9,95,0.176392162
10,95,0.830978839
1,96,0.048535123
2,96,0.734107076
3,96,0.164731658
4,96,0.727454683
5,96,0.933371521
6,96,0.007320924
7,96,0.7007306
8,96,0.570280677
9,96,0.695812943
10,96,0.697681801
1,97,0.710486599
2,97,0.474160197
3,97,0.860532216
4,97,0.179999088
5,97,0.661145244
6,97,0.171720757
7,97,0.359315193
8,97,0.023693341
9,97,0.71036338
10,97,0.170851883
1,98,0.93201773
2,98,0.068582317
3,98,0.597929082
4,98,0.600226739
5,98,0.478224896
6,98,0.118607438
7,98,0.903331725
8,98,0.383238815
9,98,0.345040689
10,98,0.116309688
1,99,0.921048829
2,99,0.239471985
3,99,0.595809481
4,99,0.855310668
5,99,0.921426428
6,99,0.319026346
7,99,0.390342379
8,99,0.945674822
9,99,0.43614656
10,99,0.402109328
1,100,0.769297688
2,100,0.956945805
3,100,0.709208454
4,100,0.147645322
5,100,0.261691814
6,100,0.346645
7,100,0.804630884
8,100,0.896375905
9,100,0.191862666
10,100,0.332647723
1,101,0.414245673
2,101,0.007468893
3,101,0.773995839
4,101,0.023526251
5,101,0.46033852
6,101,0.204212986
7,101,0.388165386
8,101,0.229374618
9,101,0.723936643
10,101,0.470114533
1,102,0.233973601
2,102,0.617365141
3,102,0.632291995
4,102,0.041858717
5,102,0.09744075
6,102,0.893097701
7,102,0.76576944
8,102,0.849082405
9,102,0.75657805
10,102,0.014485519
1,103,0.990287823
2,103,0.843747086
3,103,0.640774306
4,103,0.593518761
5,103,0.603883689
6,103,0.088392175
7,103,0.336353559
8,103,0.495544174
9,103,0.804174331
10,103,0.764517443
1,104,0.13421514
2,104,0.523529644
3,104,0.623301164
4,104,0.029622105
5,104,0.038670888
6,104,0.654769775
7,104,0.52360088
8,104,0.316132052
9,104,0.08938547
10,104,0.440674437
1,105,0.592374275
2,105,0.453703208
3,105,0.542618769
4,105,0.465592564
5,105,0.108469344
6,105,0.555248368
7,105,0.982619233
8,105,0.390176237
9,105,0.743502556
10,105,0.241819933
1,106,0.029553012
2,106,0.735121685
3,106,0.268831171
4,106,0.856164866
5,106,0.175224642
6,106,0.468675814
7,106,0.429398398
8,106,0.399294015
9,106,0.291078219
10,106,0.05690045
1,107,0.61045376
2,107,0.517445618
3,107,0.434418446
4,107,0.601525733
5,107,0.872313101
6,107,0.543000588
7,107,0.454637722
8,107,0.257016703
9,107,0.455627236
10,107,0.803743389
1,108,0.89409891
2,108,0.77408293
3,108,0.296884915
4,108,0.053918547
5,108,0.354170489
6,108,0.550874851
7,108,0.476389953
8,108,0.259468484
9,108,0.572060073
10,108,0.713489795
1,109,0.56411561
2,109,0.672245958
3,109,0.685312416
4,109,0.652460514
5,109,0.745627243
6,109,0.654905521
7,109,0.909763981
8,109,0.545966625
9,109,0.486663448
10,109,0.493659058
1,110,0.110370304
2,110,0.833059116
3,110,0.113150923
4,110,0.525101352
5,110,0.63501087
6,110,0.193566161
7,110,0.790574903
8,110,0.280130878
9,110,0.717951958
10,110,0.405479654
1,111,0.483378029
2,111,0.601768552
3,111,0.984025704
4,111,0.20838361
5,111,0.404395803
6,111,0.789195406
7,111,0.870154441
8,111,0.786021006
9,111,0.217525852
10,111,0.706818416
1,112,0.333197855
2,112,0.680759975
3,112,0.692655809
4,112,0.857144773
5,112,0.57863849
6,112,0.391860021
7,112,0.75772311
8,112,0.138573056
9,112,0.379748595
10,112,0.450701855
1,113,0.133734583
2,113,0.438388932
3,113,0.158524684
4,113,0.134646058
5,113,0.459950387
6,113,0.846274054
7,113,0.175139675
8,113,0.762463847
9,113,0.746638132
10,113,0.732080622
1,114,0.88578765
2,114,0.11882469
3,114,0.65659981
4,114,0.620341323
5,114,0.338611057
6,114,0.723843597
7,114,0.253576114
8,114,0.483546213
9,114,0.406932385
10,114,0.579423268
1,115,0.414103067
2,115,0.453085612
3,115,0.387468754
4,115,0.662701446
5,115,0.268858659
6,115,0.84836039
7,115,0.138566227
8,115,0.204589937
9,115,0.03507608
10,115,0.051334949
1,116,0.02894913
2,116,0.945854133
3,116,0.329056081
4,116,0.142684031
5,116,0.273728429
6,116,0.929225298
7,116,0.168284493
8,116,0.318848758
9,116,0.565094781
10,116,0.674028239
1,117,0.797609625
2,117,0.973523709
3,117,0.373922
4,117,0.923208045
5,117,0.547265019
6,117,0.076990516
7,117,0.840770055
8,117,0.030684233
9,117,0.520663838
10,117,0.804685497
1,118,0.921184451
2,118,0.160992742
3,118,0.614317738
4,118,0.559000118
5,118,0.888121733
6,118,0.490631404
7,118,0.394453416
8,118,0.005572149
9,118,0.459958003
10,118,0.867239164
1,119,0.881802011
2,119,0.807365855
3,119,0.472902035
4,119,0.425564051
5,119,0.522419385
6,119,0.535445406
7,119,0.885187189
8,119,0.31320207
9,119,0.806278508
10,119,0.559455429
1,120,0.564009131
2,120,0.681357768
3,120,0.773163135
4,120,0.742369881
5,120,0.276091513
6,120,0.356392017
7,120,0.278541609
8,120,0.311293251
9,120,0.810982227
10,120,0.584554694
1,121,0.21448974
2,121,0.028812432
3,121,0.569209879
4,121,0.309832389
5,121,0.223922063
6,121,0.014349422
7,121,0.832817462
8,121,0.799623411
9,121,0.090146517
10,121,0.322324578
1,122,0.033332351
2,122,0.611092124
3,122,0.248251599
4,122,0.221333034
5,122,0.055439341
6,122,0.418433239
7,122,0.896741754
8,122,0.356333341
9,122,0.053331549
10,122,0.393217619
1,123,0.399485769
2,123,0.70334671
3,123,0.786953109
4,123,0.615477188
5,123,0.1992175
6,123,0.946972847
7,123,0.81985681
8,123,0.750338808
9,123,0.533273839
10,123,0.288189641
1,124,0.008617434
2,124,0.936940679
3,124,0.67557076
4,124,0.315713874
5,124,0.770632569
6,124,0.318350476
7,124,0.3154907
8,124,0.365818098
9,124,0.049043428
10,124,0.764472669
1,125,0.998932433
2,125,0.44741224
3,125,0.870332351
4,125,0.06495548
5,125,0.007042451
6,125,0.382964383
7,125,0.621072391
8,125,0.530484848
9,125,0.088867896
10,125,0.516273536
1,126,0.91124133
2,126,0.740330869
3,126,0.619465133
4,126,0.222423637
5,126,0.079769452
6,126,0.21561674
7,126,0.364400745
8,126,0.066532428
9,126,0.575725794
10,126,0.717349691
1,127,0.87001839
2,127,0.113917584
3,127,0.36185606
4,127,0.172182577
5,127,0.928262413
6,127,0.600191923
7,127,0.653657971
8,127,0.501637101
9,127,0.102682003
10,127,0.337249563
1,128,0.321039513
2,128,0.754230172
3,128,0.781483973
4,128,0.918461736
5,128,0.356912913
6,128,0.933565361
7,128,0.318425498
8,128,0.651659895
9,128,0.478237765
10,128,0.082907103
1,129,0.184113585
2,129,0.116297911
3,129,0.85871853
4,129,0.189205478
5,129,0.984566563
6,129,0.338826572
7,129,0.359436092
8,129,0.028803712
9,129,0.823352948
10,129,0.691181807
1,130,0.646633662
2,130,0.429674481
3,130,0.916238384
4,130,0.858320723
5,130,0.426792157
6,130,0.008913122
7,130,0.327669357
8,130,0.017807174
9,130,0.903354957
10,130,0.576696676
1,131,0.278338655
2,131,0.610592123
3,131,0.78067532
4,131,0.951726017
5,131,0.342249794
6,131,0.115581037
7,131,0.255874635
8,131,0.860950805
9,131,0.035174494
10,131,0.832267828
1,132,0.092188998
2,132,0.906586075
3,132,0.529630956
4,132,0.076403436
5,132,0.253324269
6,132,0.687786505
7,132,0.259598689
8,132,0.536957401
9,132,0.01126821
10,132,0.630157873
1,133,0.276602104
2,133,0.916928138
3,133,0.346702357
4,133,0.985731655
5,133,0.934311036
6,133,0.878354279
7,133,0.965874631
8,133,0.040635595
9,133,0.937730743
10,133,0.093222223
1,134,0.26536241
2,134,0.366402422
3,134,0.988554259
4,134,0.245943369
5,134,0.872474479
6,134,0.169935844
7,134,0.600888578
8,134,0.631397405
9,134,0.053792098
10,134,0.051578007
1,135,0.394452084
2,135,0.886433293
3,135,0.166749053
4,135,0.791821692
5,135,0.762500612
6,135,0.475373635
7,135,0.909188257
8,135,0.962416434
9,135,0.937629819
10,135,0.496278196
1,136,0.169168028
2,136,0.125946266
3,136,0.684831317
4,136,0.084563051
5,136,0.191231864
6,136,0.020571026
7,136,0.319131554
8,136,0.767898597
9,136,0.244383301
10,136,0.712125156
1,137,0.937951473
2,137,0.999457729
3,137,0.695804609
4,137,0.66542971
5,137,0.814327121
6,137,0.025101159
7,137,0.61604875
8,137,0.605996492
9,137,0.522308366
10,137,0.184629951
1,138,0.105765167
2,138,0.120863187
3,138,0.576555546
4,138,0.451813671
5,138,0.045563303
6,138,0.122505659
7,138,0.043988486
8,138,0.640318536
9,138,0.107933734
10,138,0.302521979
1,139,0.875589537
2,139,0.376155059
3,139,0.937360006
4,139,0.171022654
5,139,0.787867587
6,139,0.066634541
7,139,0.297141045
8,139,0.867516634
9,139,0.942038149
10,139,0.09718564
1,140,0.080483822
2,140,0.183777925
3,140,0.417082027
4,140,0.645556564
5,140,0.847958344
6,140,0.389319216
7,140,0.491438188
8,140,0.082176504
