Sim Num,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
24,15,4,24,19,12,36,19,34,44,4,44,41,41,37,13,11,21,22,37,16,11,17,30,38,35,14,25,5,32,22,36,20,33,35,17,30,11,18,32,14,18,44,38,21,40,38,15,17,32,12,40,15,32,4,8,20,39,35,29,42,31,3,1,23,20,31,29,9,28,24,6,41,23,9,14,12,35,16,9,16,5,11,24,29,39,29,8,13,15,2
25,26,6,16,32,35,28,24,29,40,28,9,40,38,15,30,12,13,6,37,33,39,18,25,10,9,42,41,37,44,43,39,11,3,41,25,18,27,2,7,15,39,1,7,30,3,6,28,39,36,9,30,13,25,23,31,42,31,16,39,12,19,44,16,33,28,12,28,26,1,27,9,8,14,31,20,25,25,25,27,18,30,18,1,36,40,2,34,35,36,12
26,9,41,27,7,23,13,36,25,14,44,13,11,7,13,14,16,1,20,2,5,40,24,4,41,21,23,44,31,11,2,16,31,41,16,39,12,14,1,4,32,39,40,42,8,12,29,25,34,14,7,22,36,21,39,21,14,11,6,34,41,39,38,36,9,33,2,8,27,38,30,42,36,24,31,29,37,11,32,37,2,29,40,25,19,32,37,17,38,31,30
27,27,17,7,26,3,7,37,28,6,5,10,13,6,17,26,13,18,30,33,26,41,41,40,11,22,7,27,33,20,14,41,31,36,23,9,40,2,2,10,3,36,1,2,23,37,39,29,34,16,39,25,29,16,27,25,18,28,22,27,19,4,26,6,9,7,30,23,40,4,21,12,18,16,25,38,30,32,13,30,4,7,41,15,16,43,21,40,31,23,24
28,10,13,43,37,14,11,25,26,6,6,3,31,10,2,13,37,16,31,44,36,19,30,15,34,36,38,9,13,1,3,44,9,17,9,39,8,32,32,25,29,39,15,40,29,39,19,38,36,22,35,44,12,31,5,25,22,25,6,2,13,35,41,32,31,24,26,4,15,14,2,26,12,9,11,10,26,30,33,4,7,12,16,7,27,38,1,7,6,13,8
29,26,6,17,7,43,21,26,39,28,10,4,2,11,35,8,21,36,44,3,27,36,37,8,24,40,22,8,38,3,23,40,13,4,17,24,32,22,15,2,8,42,35,24,3,29,6,17,31,28,41,29,23,4,19,33,31,3,40,17,24,15,37,7,32,40,8,14,10,19,6,31,29,34,5,35,37,16,12,21,32,9,40,19,5,9,12,30,40,19,2
30,21,41,27,13,15,33,42,13,10,24,34,33,25,18,44,22,14,32,27,8,33,31,28,10,19,29,11,23,6,23,31,26,34,28,33,37,31,4,35,3,13,12,11,41,13,36,25,3,31,1,23,3,8,9,20,21,23,20,17,15,14,38,20,35,23,13,44,28,20,43,26,9,42,44,25,24,40,28,11,35,6,9,3,4,4,39,26,18,43,14
31,11,28,13,7,20,10,11,4,3,41,30,1,19,28,44,8,28,2,28,1,34,43,41,33,20,18,4,7,27,7,33,18,42,31,40,11,17,39,24,7,20,26,44,28,40,7,13,6,14,32,19,31,2,39,21,41,34,6,7,32,37,36,18,27,23,39,1,16,38,36,40,21,44,26,37,34,10,26,15,29,26,11,4,41,6,21,6,43,29,43
32,21,22,41,26,40,44,27,42,17,7,44,4,37,28,8,21,5,35,1,10,28,38,38,1,43,14,16,7,41,29,24,16,8,8,24,44,5,36,17,15,40,9,43,37,40,41,5,11,31,30,5,41,11,20,7,6,30,7,28,33,42,40,12,43,18,42,39,13,38,2,37,23,30,43,19,41,8,7,3,35,17,44,10,26,3,22,40,43,30,32
33,9,26,42,5,16,18,9,41,33,15,2,41,29,13,4,11,19,9,11,23,43,24,32,9,9,44,21,34,27,29,6,32,30,27,39,7,21,14,22,39,1,10,38,42,22,3,9,12,22,3,9,3,35,39,2,12,2,12,9,21,19,23,22,16,34,15,11,2,12,43,24,8,32,40,13,20,28,39,19,1,14,27,25,42,33,16,7,5,39,6
34,26,1,4,44,2,31,42,3,31,10,3,27,21,7,1,12,19,32,18,27,32,17,6,7,28,37,4,9,26,26,30,8,9,22,3,11,42,13,23,24,2,44,40,16,1,12,24,10,4,7,20,36,9,37,19,17,13,5,41,12,19,32,12,10,25,37,34,41,11,14,19,31,32,10,11,7,23,18,3,29,6,3,24,41,17,30,17,25,28,3
35,38,26,40,42,8,8,6,19,20,24,32,40,38,31,32,35,1,38,41,18,2,8,36,4,9,11,25,31,5,21,19,11,14,32,21,1,1,33,2,35,6,40,43,19,11,4,27,8,13,35,25,15,27,14,20,12,26,8,30,31,39,14,3,25,2,16,40,1,19,13,6,29,44,32,38,2,19,22,17,27,23,40,28,14,43,42,4,4,13,20
36,15,14,4,34,7,38,34,25,20,23,1,5,30,1,21,19,29,7,32,40,36,30,30,16,21,37,21,42,19,8,28,28,13,6,27,10,25,32,14,41,4,24,27,7,16,27,16,25,27,16,9,2,34,2,34,30,40,18,44,33,5,40,34,32,21,19,6,24,38,11,35,9,21,42,38,42,21,8,32,10,44,24,28,28,32,36,7,22,44,14
37,44,28,25,13,44,16,43,42,35,27,1,29,4,35,8,18,20,24,14,12,39,22,20,33,2,17,24,1,2,10,11,14,3,13,38,37,35,35,24,35,22,6,25,28,12,21,23,8,10,19,44,4,10,38,19,3,4,40,30,4,15,15,29,29,32,31,44,40,19,18,9,16,41,15,6,39,33,5,33,35,9,15,4,16,29,28,19,20,35,9
38,9,29,10,22,8,30,5,34,2,41,38,9,2,20,21,32,16,44,8,4,3,32,16,5,13,44,43,17,14,31,13,7,13,20,7,36,30,13,30,36,33,40,9,4,5,5,4,43,23,7,33,32,24,23,4,14,7,43,2,20,28,5,12,12,32,28,30,26,1,26,25,19,21,27,8,30,11,20,42,15,17,28,14,6,39,11,10,19,39,24
39,12,33,24,39,19,7,9,17,19,25,41,20,38,10,2,3,36,3,13,18,18,20,33,38,9,13,25,21,34,11,38,36,26,39,18,36,11,40,1,44,8,41,25,6,4,12,2,39,10,44,38,11,39,35,6,39,27,3,16,23,1,24,11,5,43,29,24,36,14,30,33,26,27,12,22,14,1,33,36,18,32,4,5,10,34,18,2,13,11,31
40,9,27,36,27,3,39,4,12,43,37,42,31,29,29,9,6,8,19,11,18,6,11,25,22,38,11,9,1,12,36,13,23,15,39,25,10,7,4,37,40,7,3,18,7,33,5,20,6,12,27,6,8,28,40,5,40,17,22,17,22,20,5,23,6,32,5,35,4,16,40,20,21,22,11,5,1,41,32,4,25,24,11,34,10,10,9,1,20,36,17
41,27,6,41,36,13,34,27,37,25,15,11,34,20,22,13,2,14,7,34,6,15,32,12,32,43,26,29,4,13,42,34,27,38,10,34,1,1,29,16,16,29,13,37,40,37,6,35,29,16,36,5,14,6,10,16,7,8,3,7,39,34,12,25,43,24,19,19,4,6,9,26,23,5,5,42,43,16,30,5,21,24,9,29,17,21,18,15,12,32,18
42,38,24,17,13,37,7,7,22,10,9,5,44,17,20,2,9,36,9,17,20,14,38,33,21,10,7,3,5,30,38,21,44,17,1,22,29,38,29,25,40,19,8,15,25,36,19,17,20,20,20,4,23,36,2,2,34,17,38,17,17,34,23,43,14,16,1,14,22,6,43,2,7,41,42,1,20,15,36,3,41,14,7,30,33,26,16,22,1,37,32
43,5,41,29,1,15,35,8,43,9,27,4,23,39,35,23,1,11,21,38,16,14,19,31,25,3,31,16,33,21,34,38,38,32,19,30,40,43,41,13,43,25,13,2,42,35,44,4,13,12,33,32,37,41,34,39,31,41,18,44,35,34,40,43,15,44,36,35,13,36,44,18,12,19,16,15,22,36,20,18,38,37,34,34,10,20,38,11,43,26,4
44,18,34,31,40,38,8,19,3,14,10,36,19,31,24,9,27,12,5,39,44,31,1,6,23,17,36,5,36,42,14,23,41,15,22,8,21,28,19,14,37,32,35,21,6,10,26,8,6,17,3,16,12,18,36,6,20,30,22,36,28,23,2,11,3,24,43,25,28,34,24,25,28,37,20,7,26,14,10,36,18,30,29,8,15,34,28,28,38,37,21
45,39,41,6,42,9,27,8,20,13,37,27,17,41,17,41,28,15,38,40,25,4,13,20,38,24,44,6,2,35,27,40,10,10,31,23,9,29,11,35,33,17,22,39,36,7,36,41,21,20,40,29,30,4,4,25,11,22,39,42,27,9,44,16,16,27,37,30,34,11,25,26,8,28,16,13,9,16,17,33,42,35,20,28,28,21,15,24,36,34,22
46,30,10,29,20,41,25,9,41,15,8,44,13,15,30,4,11,41,23,14,44,29,30,38,5,24,19,40,10,40,20,15,25,14,16,8,31,36,44,31,15,28,43,41,44,11,39,20,26,7,6,4,23,3,15,41,17,42,10,43,3,12,19,42,18,14,35,3,5,12,36,31,9,27,9,36,34,34,17,23,10,21,4,11,18,41,19,25,42,37,6
47,35,7,36,5,35,20,13,33,27,42,7,7,6,8,26,1,37,14,13,2,3,13,13,38,40,23,41,31,21,27,37,32,12,1,19,39,8,32,15,26,12,6,11,21,14,30,4,4,44,9,41,1,25,12,11,10,32,35,42,20,24,14,2,29,42,37,10,16,35,7,40,32,3,39,31,23,34,41,43,3,9,38,1,19,41,13,15,33,4,34
48,11,34,26,3,20,19,32,22,31,44,33,31,15,5,39,33,20,19,30,19,23,35,14,20,6,40,1,21,16,41,24,24,19,37,18,40,19,24,43,31,11,20,43,36,5,36,31,29,11,34,24,31,34,8,25,9,23,12,6,24,38,35,7,38,36,27,4,29,30,39,42,27,27,44,12,23,37,39,15,20,4,2,19,19,13,11,6,20,29,44
49,28,7,13,43,19,39,17,28,36,22,29,31,39,13,2,44,25,15,9,13,8,30,39,3,5,23,31,4,40,44,39,24,21,32,14,31,14,5,20,43,36,7,33,5,12,28,42,35,17,38,25,10,32,26,42,41,13,29,3,30,5,17,19,16,40,6,35,10,21,24,36,38,41,42,43,7,31,27,6,5,10,32,38,13,5,35,22,6,40,31
50,44,43,33,22,11,5,40,7,13,39,23,28,23,15,11,12,21,37,16,33,11,24,18,31,39,16,34,33,42,26,9,4,31,10,40,37,29,42,36,30,35,40,30,22,39,16,6,8,5,30,8,23,39,3,31,21,11,15,35,43,5,33,14,35,33,8,16,23,10,31,15,29,38,26,6,37,38,4,25,3,14,13,18,35,33,42,10,22,18,9
51,42,21,26,12,20,29,38,5,4,6,24,4,37,20,38,38,4,14,20,25,28,28,29,23,18,40,24,17,41,6,6,29,15,37,8,36,1,33,17,8,22,2,39,3,35,19,15,19,44,22,17,19,34,17,29,43,13,16,20,37,11,37,2,14,18,19,6,21,21,9,12,30,12,3,43,36,16,22,42,7,14,44,29,33,15,44,38,10,30,9
52,43,17,44,9,28,37,23,40,24,9,19,32,41,31,2,44,24,20,15,39,26,31,4,39,33,28,31,40,43,4,44,5,17,10,25,25,13,6,16,25,40,41,37,9,17,44,19,34,10,38,5,34,1,40,8,12,38,21,40,4,10,42,36,42,21,40,33,36,3,10,10,37,14,4,42,19,33,8,29,27,33,18,8,15,7,5,9,15,16,33
53,20,36,16,12,23,37,39,17,8,38,3,9,20,36,33,35,19,5,2,14,29,40,21,39,22,23,2,20,9,25,9,10,41,24,8,22,35,34,30,35,13,30,34,6,12,42,27,27,11,36,15,34,24,40,14,24,18,44,18,5,27,31,40,15,12,1,4,1,11,28,11,9,34,7,26,39,44,8,39,31,38,25,15,41,23,5,21,44,4,11
54,18,31,36,20,4,35,9,27,10,10,39,22,27,44,44,28,6,44,27,26,6,16,26,31,14,44,14,3,28,28,25,2,34,6,8,7,6,3,28,20,5,44,44,6,38,25,10,14,6,39,8,9,14,10,6,42,18,10,18,29,12,35,11,34,2,4,6,18,6,43,1,10,1,21,41,6,38,8,5,34,23,21,41,14,4,6,13,42,18,35
55,14,14,8,25,35,41,23,11,25,12,10,22,44,26,37,39,38,34,2,32,29,2,26,40,44,4,44,27,32,24,3,37,38,42,21,28,22,5,34,27,31,3,38,8,8,13,33,34,7,29,34,28,14,6,37,30,27,19,8,21,27,37,18,7,20,34,17,3,27,27,23,17,2,13,19,13,41,7,29,18,19,32,44,42,5,28,20,12,30,22
56,22,9,3,14,7,1,20,1,4,43,11,41,40,18,27,42,25,10,23,33,30,8,35,7,44,9,17,37,6,13,4,16,34,8,7,21,32,8,39,31,29,35,29,18,9,21,35,23,25,18,23,24,5,8,38,20,29,21,21,28,10,17,30,32,9,16,44,23,37,31,39,35,28,16,28,5,41,7,16,37,39,25,26,41,24,22,5,1,26,1
57,27,26,6,5,17,35,34,7,30,42,11,21,19,22,23,16,18,29,5,28,2,28,28,40,8,44,19,21,8,37,22,3,12,16,42,5,10,1,33,33,34,40,21,16,32,31,43,20,44,30,41,28,40,25,14,9,11,23,11,6,12,17,13,19,11,15,18,38,13,22,8,25,36,2,36,34,35,7,29,41,36,28,12,6,9,43,28,39,42,42
58,1,23,29,14,17,43,19,6,43,7,10,16,21,39,19,40,44,17,13,1,3,3,40,34,39,11,25,1,20,11,33,15,13,43,13,27,22,19,34,11,8,26,21,34,29,29,22,32,31,11,23,17,6,14,41,26,10,41,28,31,36,42,8,24,16,26,40,22,31,6,8,28,2,18,32,31,39,36,29,11,28,3,40,27,16,14,39,11,17,14
59,12,18,27,24,31,43,26,34,21,41,11,14,42,7,41,3,27,23,43,15,12,37,34,14,22,21,5,19,44,36,25,10,1,10,26,19,28,30,3,6,7,26,7,43,13,17,40,20,32,21,13,11,11,19,34,29,12,33,33,15,1,25,38,18,3,39,4,13,7,35,24,33,15,27,21,44,32,10,34,14,35,8,42,1,24,35,22,36,2,4
60,12,19,9,5,32,9,34,21,26,23,17,35,36,43,18,31,2,34,21,25,32,24,29,23,44,20,16,3,5,2,31,14,38,26,28,12,27,25,8,9,14,43,23,20,37,1,33,36,37,43,28,39,14,37,19,15,16,6,4,43,10,6,10,8,22,12,29,21,5,37,16,16,29,5,2,1,15,28,28,20,2,36,7,32,43,7,12,11,44,9
61,41,4,19,22,34,6,16,30,28,12,34,27,30,19,7,20,7,31,33,8,16,24,39,33,26,37,35,19,10,44,10,3,27,27,30,7,26,1,39,6,21,14,3,37,2,20,35,36,2,37,35,8,30,1,26,14,5,32,7,24,24,42,7,7,35,3,33,22,22,22,2,25,13,1,12,2,39,18,24,28,17,8,33,39,7,35,9,17,12,7
62,18,20,44,20,14,31,31,44,6,26,42,42,20,10,17,4,39,6,27,15,20,39,11,12,12,15,30,23,33,22,15,19,29,3,44,18,27,36,43,42,11,22,15,7,13,39,44,28,10,23,7,5,11,35,15,8,4,22,34,14,37,32,15,29,5,22,14,20,22,11,5,20,26,35,16,12,29,29,31,18,15,9,38,37,36,36,11,19,22,39
63,43,39,16,9,6,5,5,44,23,4,35,41,5,2,25,30,13,41,1,37,17,34,10,37,37,25,10,6,40,23,9,39,26,44,26,12,3,36,15,1,37,44,39,28,2,23,3,29,3,14,18,28,30,38,43,21,5,4,5,2,22,21,26,43,43,17,44,43,29,42,38,27,35,32,32,25,6,22,20,9,12,17,13,24,23,14,15,11,35,34
64,19,8,27,42,43,32,20,21,31,41,6,12,25,13,9,33,26,10,30,35,19,25,29,20,42,23,39,3,32,19,8,17,20,24,15,5,8,37,15,8,40,19,30,22,10,35,19,34,13,37,40,3,17,20,33,21,44,31,22,36,4,44,41,32,6,31,43,7,36,10,44,14,5,17,27,43,32,32,11,21,25,44,35,7,1,43,39,4,27,29
65,4,34,21,34,13,1,36,18,33,35,39,15,11,19,29,19,27,33,17,6,33,8,9,25,19,22,8,24,44,9,18,30,17,17,23,38,3,5,5,18,8,13,24,18,31,8,42,44,27,39,26,13,22,36,5,42,32,20,25,43,38,33,33,30,34,39,34,1,1,20,11,17,2,21,31,29,22,4,21,15,7,28,8,29,33,38,21,17,8,39
66,42,13,9,20,44,2,6,32,39,10,17,43,6,44,19,35,9,10,31,39,28,10,29,15,14,37,8,18,25,11,41,31,43,8,1,42,8,22,24,41,20,9,28,13,41,40,1,39,18,23,1,13,12,35,40,16,9,25,29,26,30,15,18,27,32,11,18,13,23,33,40,28,4,22,3,5,34,22,33,31,43,13,3,6,37,44,40,34,23,21
67,32,15,27,22,44,34,5,2,37,22,8,30,34,24,21,44,21,23,42,34,18,22,25,36,5,32,17,27,25,10,26,5,31,24,1,6,25,30,9,44,2,28,17,43,17,3,5,34,17,28,22,4,11,10,33,12,44,3,16,16,18,9,5,31,40,25,30,15,13,25,16,16,37,3,17,5,37,10,12,39,3,41,39,40,12,26,33,6,19,10
68,4,16,24,34,30,22,32,34,35,42,27,31,41,26,44,30,5,19,37,24,7,33,23,10,12,32,16,20,18,25,4,35,4,25,21,41,7,3,3,26,24,28,20,34,12,12,22,16,31,15,22,35,17,18,42,20,31,7,9,21,39,19,20,20,9,5,41,24,30,31,11,19,17,13,23,44,1,35,8,26,27,36,23,44,42,39,35,31,15,43
69,29,34,13,40,4,43,17,14,33,2,37,25,16,28,16,3,10,12,17,7,28,17,25,4,1,21,14,43,7,24,17,13,15,23,44,17,35,36,23,26,27,27,35,3,42,44,36,21,10,28,4,22,21,9,11,31,28,12,4,38,25,18,23,41,18,18,41,28,36,40,39,9,20,21,13,31,9,36,30,2,24,21,1,25,22,44,28,2,40,18
70,16,18,4,33,42,2,41,27,38,7,10,1,8,19,10,29,24,17,25,4,24,25,27,44,3,41,22,44,3,1,26,40,29,14,35,2,8,25,21,10,38,43,23,10,8,21,26,13,42,44,29,16,15,12,15,5,34,23,10,22,36,39,36,17,2,13,31,6,23,14,44,8,15,44,38,1,14,1,35,10,37,23,21,41,19,30,16,10,7,42
71,3,7,11,8,41,31,9,23,28,14,18,30,21,3,41,5,27,5,2,30,7,41,32,18,16,41,19,5,9,39,6,35,26,32,37,2,34,38,26,10,39,2,13,9,20,22,37,24,2,10,4,44,25,17,3,37,43,19,19,31,31,28,5,35,34,22,44,4,44,25,34,43,30,31,21,11,8,38,4,32,4,7,35,9,16,28,16,10,30,6
72,43,30,16,35,9,27,42,11,9,42,28,36,35,21,25,38,2,33,3,6,37,6,16,16,31,26,44,44,7,30,32,25,38,24,13,34,27,27,9,33,7,14,14,17,34,7,11,21,31,39,4,3,42,33,14,24,41,3,11,5,38,36,10,14,39,12,23,33,43,23,15,23,33,27,41,5,29,1,25,31,3,34,5,43,21,31,29,3,8,28
73,25,31,24,35,22,6,9,7,13,18,31,44,21,40,8,41,3,43,15,39,7,6,32,10,10,36,33,12,5,12,42,37,2,12,33,32,43,16,16,32,39,33,16,33,1,32,25,18,5,30,6,9,7,33,14,11,19,7,29,20,16,23,7,14,16,25,38,9,36,35,19,28,38,16,42,25,8,14,32,43,10,31,27,21,35,2,12,38,5,41
74,31,9,11,11,20,14,35,10,8,43,9,32,9,31,33,43,10,40,9,5,3,7,36,8,10,24,9,34,27,26,28,42,37,12,20,25,39,10,12,34,9,2,7,8,11,12,24,12,13,7,27,27,22,13,12,5,25,14,29,39,2,41,35,32,3,39,10,40,5,7,1,41,36,32,25,33,10,12,14,15,36,15,27,16,32,20,13,36,34,21
